name,rate,priority,class_type,zip_postal_code,status
AL - (ALTOONA),12,0,zip-postal-code,35121,active
AL - (PINSON),10,0,zip-postal-code,35123,active
AL - (ALABASTER),9,0,zip-postal-code,35124,active
AL - (SAINT CLAIR CL PELL CITY 7759),10,0,zip-postal-code,35125,active
AL - (PINSON),10,0,zip-postal-code,35126,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35127,active
AL - (SAINT CLAIR CL PELL CITY 7759),10,0,zip-postal-code,35128,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35130,active
AL - (RAGLAND),10,0,zip-postal-code,35131,active
AL - (LOCUST FORK),9,0,zip-postal-code,35133,active
AL - (RIVERSIDE),10,0,zip-postal-code,35135,active
AL - (ROCKFORD),9,0,zip-postal-code,35136,active
AL - (CALERA PJ),7,0,zip-postal-code,35137,active
AL - (ADAMSVILLE PJ),8,0,zip-postal-code,35139,active
AL - (HOOVER PJ),7.75,0,zip-postal-code,35142,active
AL - (CHILTON),8,0,zip-postal-code,35143,active
AL - (ALABASTER),9,0,zip-postal-code,35144,active
AL - (ARGO),10,0,zip-postal-code,35146,active
AL - (CHELSEA),10,0,zip-postal-code,35147,active
AL - (SUMITON),10,0,zip-postal-code,35148,active
AL - (TALLADEGA),7,0,zip-postal-code,35149,active
AL - (CHILDERSBURG),9,0,zip-postal-code,35150,active
AL - (CHILDERSBURG),9,0,zip-postal-code,35151,active
AL - (LINCOLN),10,0,zip-postal-code,35160,active
AL - (TALLADEGA),10,0,zip-postal-code,35161,active
AL - (JEMISON),11,0,zip-postal-code,35171,active
AL - (BLOUNT),9,0,zip-postal-code,35172,active
AL - (ARGO),10,0,zip-postal-code,35173,active
AL - (MARSHALL),10,0,zip-postal-code,35175,active
AL - (SHELBY),5,0,zip-postal-code,35176,active
AL - (VINCENT),9,0,zip-postal-code,35178,active
AL - (CULLMAN),9,0,zip-postal-code,35179,active
AL - (KIMBERLY),10,0,zip-postal-code,35180,active
AL - (JEFFERSON CO SD),6,0,zip-postal-code,35181,active
AL - (SAINT CLAIR CO 7059),6,0,zip-postal-code,35182,active
AL - (COOSA),6,0,zip-postal-code,35183,active
AL - (WEST BLOCTON),10,0,zip-postal-code,35184,active
AL - (WESTOVER),9,0,zip-postal-code,35185,active
AL - (CHELSEA),10,0,zip-postal-code,35186,active
AL - (WILTON),8,0,zip-postal-code,35187,active
AL - (VANCE),10,0,zip-postal-code,35188,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35201,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35202,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35203,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35204,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35205,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35206,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35207,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35208,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35209,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35210,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35211,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35212,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35213,active
AL - (ADAMSVILLE),10,0,zip-postal-code,35214,active
AL - (PINSON),10,0,zip-postal-code,35215,active
AL - (HOMEWOOD),10,0,zip-postal-code,35216,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35217,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35218,active
AL - (HOMEWOOD),10,0,zip-postal-code,35219,active
AL - (CENTER POINT),10,0,zip-postal-code,35220,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35221,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35222,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35223,active
AL - (ADAMSVILLE),10,0,zip-postal-code,35224,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35226,active
AL - (BESSEMER),10,0,zip-postal-code,35228,active
AL - (HOMEWOOD),10,0,zip-postal-code,35229,active
AL - (JEFFERSON CO SD),6,0,zip-postal-code,35231,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35232,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35233,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35234,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35235,active
AL - (HOOVER),9.5,0,zip-postal-code,35236,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35237,active
AL - (SHELBY),5,0,zip-postal-code,35238,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35242,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35243,active
AL - (BESSEMER),10,0,zip-postal-code,35244,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35246,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35249,active
AL - (MOUNTAIN BROOK),9,0,zip-postal-code,35253,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35254,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35255,active
AL - (HOMEWOOD),10,0,zip-postal-code,35259,active
AL - (HOOVER),9.5,0,zip-postal-code,35260,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35261,active
AL - (VESTAVIA HILLS),10,0,zip-postal-code,35266,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35270,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35282,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35283,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35285,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35287,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35288,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35290,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35291,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35292,active
AL - (HOMEWOOD),10,0,zip-postal-code,35293,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35294,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35295,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35296,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35297,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35298,active
AL - (NORTHPORT),10,0,zip-postal-code,35401,active
AL - (TUSCALOOSA),10,0,zip-postal-code,35402,active
AL - (TUSCALOOSA),10,0,zip-postal-code,35403,active
AL - (TUSCALOOSA),10,0,zip-postal-code,35404,active
AL - (TUSCALOOSA),10,0,zip-postal-code,35405,active
AL - (NORTHPORT),10,0,zip-postal-code,35406,active
AL - (TUSCALOOSA),10,0,zip-postal-code,35407,active
AL - (TUSCALOOSA),9,0,zip-postal-code,35440,active
AL - (AKRON),9,0,zip-postal-code,35441,active
AL - (ALICEVILLE),9,0,zip-postal-code,35442,active
